product_id,name,description,category,price,in_stock
prod_001,Fossil Watch Silver,A high-quality space gray watch by Fossil. Perfect for everyday use.,Watch,37.54,False
prod_002,Xiaomi Smartphone White,A high-quality red smartphone by Xiaomi. Perfect for everyday use.,Smartphone,412.04,True
prod_003,Apple Smartphone White,A high-quality red smartphone by Apple. Perfect for everyday use.,Smartphone,184.23,False
prod_004,Sennheiser Headphones Space Gray,A high-quality silver headphones by Sennheiser. Perfect for everyday use.,Headphones,973.73,True
prod_005,Sony Headphones Space Gray,A high-quality space gray headphones by Sony. Perfect for everyday use.,Headphones,386.19,True
prod_006,Santa Cruz Skateboard Blue,A high-quality green skateboard by Santa Cruz. Perfect for everyday use.,Skateboard,132.82,False
prod_007,Nike Running Shoes Green,A high-quality red running shoes by Nike. Perfect for everyday use.,Running Shoes,967.15,True
prod_008,Random House Book Silver,A high-quality silver book by Random House. Perfect for everyday use.,Book,348.39,True
prod_009,Asics Running Shoes Red,A high-quality silver running shoes by Asics. Perfect for everyday use.,Running Shoes,390.62,False
prod_010,Audio-Technica Headphones Silver,A high-quality red headphones by Audio-Technica. Perfect for everyday use.,Headphones,990.29,False
prod_011,Contigo Coffee Mug White,A high-quality white coffee mug by Contigo. Perfect for everyday use.,Coffee Mug,913.55,False
prod_012,Nike T-Shirt White,A high-quality space gray t-shirt by Nike. Perfect for everyday use.,T-Shirt,640.06,False
prod_013,Apple Smartphone Black,A high-quality blue smartphone by Apple. Perfect for everyday use.,Smartphone,960.83,False
prod_014,Contigo Coffee Mug Black,A high-quality green coffee mug by Contigo. Perfect for everyday use.,Coffee Mug,966.99,False
prod_015,HarperCollins Book Green,A high-quality green book by HarperCollins. Perfect for everyday use.,Book,985.48,True
prod_016,Adidas T-Shirt Silver,A high-quality green t-shirt by Adidas. Perfect for everyday use.,T-Shirt,992.14,False
prod_017,Nike T-Shirt Green,A high-quality silver t-shirt by Nike. Perfect for everyday use.,T-Shirt,962.19,True
prod_018,Nike T-Shirt Blue,A high-quality space gray t-shirt by Nike. Perfect for everyday use.,T-Shirt,324.22,True
prod_019,Random House Book Black,A high-quality green book by Random House. Perfect for everyday use.,Book,287.74,True
prod_020,Dell Laptop Blue,A high-quality white laptop by Dell. Perfect for everyday use.,Laptop,886.88,True
prod_021,Generic Coffee Mug Blue,A high-quality blue coffee mug by Generic. Perfect for everyday use.,Coffee Mug,482.87,True
prod_022,Plan B Skateboard Silver,A high-quality blue skateboard by Plan B. Perfect for everyday use.,Skateboard,814.31,False
prod_023,Random House Book White,A high-quality silver book by Random House. Perfect for everyday use.,Book,937.74,False
prod_024,Hydro Flask Water Bottle Red,A high-quality blue water bottle by Hydro Flask. Perfect for everyday use.,Water Bottle,386.46,False
prod_025,Apple Laptop Blue,A high-quality black laptop by Apple. Perfect for everyday use.,Laptop,321.51,False
prod_026,Bose Headphones White,A high-quality blue headphones by Bose. Perfect for everyday use.,Headphones,385.53,False
prod_027,Levi's T-Shirt Space Gray,A high-quality green t-shirt by Levi's. Perfect for everyday use.,T-Shirt,404.15,False
prod_028,Timex Watch White,A high-quality space gray watch by Timex. Perfect for everyday use.,Watch,478.81,False
