product_id,name,description,category,price,in_stock
prod_001,HarperCollins Book Green,A high-quality silver book by HarperCollins. Perfect for everyday use.,Book,463.26,False
prod_002,Plan B Skateboard Green,A high-quality green skateboard by Plan B. Perfect for everyday use.,Skateboard,47.19,True
prod_003,Generic Skateboard Green,A high-quality blue skateboard by Generic. Perfect for everyday use.,Skateboard,157.01,True
prod_004,Adidas T-Shirt Space Gray,A high-quality white t-shirt by Adidas. Perfect for everyday use.,T-Shirt,506.49,True
prod_005,Casio Watch White,A high-quality green watch by Casio. Perfect for everyday use.,Watch,525.6,True
prod_006,Santa Cruz Skateboard Black,A high-quality black skateboard by Santa Cruz. Perfect for everyday use.,Skateboard,333.69,False
prod_007,Seiko Watch Silver,A high-quality red watch by Seiko. Perfect for everyday use.,Watch,232.11,True
prod_008,Dell Laptop Space Gray,A high-quality green laptop by Dell. Perfect for everyday use.,Laptop,280.67,False
prod_009,Asics Running Shoes Red,A high-quality green running shoes by Asics. Perfect for everyday use.,Running Shoes,200.16,True
prod_010,Generic Water Bottle Blue,A high-quality blue water bottle by Generic. Perfect for everyday use.,Water Bottle,176.41,False
prod_011,Santa Cruz Skateboard Silver,A high-quality red skateboard by Santa Cruz. Perfect for everyday use.,Skateboard,171.53,True
prod_012,Lenovo Laptop Black,A high-quality red laptop by Lenovo. Perfect for everyday use.,Laptop,484.0,True
prod_013,Samsung Smartphone Space Gray,A high-quality white smartphone by Samsung. Perfect for everyday use.,Smartphone,960.43,False
prod_014,Nalgene Water Bottle White,A high-quality black water bottle by Nalgene. Perfect for everyday use.,Water Bottle,689.69,False
prod_015,Self-Published Book Silver,A high-quality silver book by Self-Published. Perfect for everyday use.,Book,185.03,True
prod_016,Generic Coffee Mug Red,A high-quality black coffee mug by Generic. Perfect for everyday use.,Coffee Mug,261.66,True
prod_017,Bose Headphones Green,A high-quality black headphones by Bose. Perfect for everyday use.,Headphones,679.41,False
prod_018,Apple Laptop Blue,A high-quality silver laptop by Apple. Perfect for everyday use.,Laptop,426.36,True
prod_019,Santa Cruz Skateboard Red,A high-quality black skateboard by Santa Cruz. Perfect for everyday use.,Skateboard,548.63,False
prod_020,Audio-Technica Headphones Blue,A high-quality silver headphones by Audio-Technica. Perfect for everyday use.,Headphones,890.19,True
prod_021,Casio Watch Red,A high-quality black watch by Casio. Perfect for everyday use.,Watch,223.32,True
prod_022,Apple Smartphone Black,A high-quality silver smartphone by Apple. Perfect for everyday use.,Smartphone,348.76,True
